Species,Number of occurrence records,Level basin,Predictors
Curimata acutirostris,70,3,"hydro_avg_02,hydro_avg_03,hydro_avg_10,hydro_avg_14,hydro_avg_15,caudal_avg,lc_avg_04,lc_avg_05,lc_avg_06,lc_avg_12,slope_avg,soil_max_08,soil_min_05,soil_min_07"
Curimata aspera,40,3,"hydro_avg_01,hydro_avg_02,hydro_avg_15,hydro_avg_17,caudal_avg,lc_avg_04,lc_avg_06,lc_avg_07,lc_avg_12,slope_avg,soil_min_01,soil_min_02,soil_min_03,soil_min_06"
Curimata cerasina,73,3,"hydro_avg_02,hydro_avg_04,hydro_avg_07,hydro_avg_11,hydro_avg_15,hydro_avg_16,caudal_avg,lc_avg_04,lc_avg_05,lc_avg_06,lc_avg_07,lc_avg_12,soil_max_05,soil_max_08,soil_min_01,soil_min_04,soil_min_06"
Curimata cisandina,46,3,"hydro_avg_01,hydro_avg_02,hydro_avg_03,hydro_avg_14,hydro_avg_15,caudal_avg,lc_avg_05,lc_avg_07,lc_avg_12,slope_avg,soil_max_01,soil_max_08,soil_min_02,soil_min_06"
Curimata cyprinoides,240,3,"hydro_avg_01,hydro_avg_02,hydro_avg_03,hydro_avg_04,hydro_avg_14,hydro_avg_15,caudal_avg,lc_avg_03,lc_avg_06,lc_avg_07,lc_avg_12,slope_avg,soil_max_01,soil_max_04,soil_max_05,soil_min_06,soil_min_07"
Curimata incompta,67,3,"hydro_avg_02,hydro_avg_04,hydro_avg_11,hydro_avg_15,hydro_avg_16,caudal_avg,lc_avg_04,lc_avg_05,lc_avg_06,lc_avg_07,lc_avg_12,soil_max_05,soil_min_07,soil_min_08"
Curimata inornata,64,3,"hydro_avg_03,hydro_avg_04,hydro_avg_10,hydro_avg_14,hydro_avg_15,caudal_avg,lc_avg_04,lc_avg_06,lc_avg_07,lc_avg_12,slope_avg,soil_max_03,soil_max_05,soil_min_06,soil_min_09"
Curimata knerii,95,3,"hydro_avg_01,hydro_avg_04,hydro_avg_14,hydro_avg_15,caudal_avg,lc_avg_04,lc_avg_05,lc_avg_06,lc_avg_07,lc_avg_12,slope_avg,soil_max_04,soil_max_05,soil_min_06,soil_min_07,soil_min_08,soil_min_09"
Curimata macrops,35,3,"hydro_avg_01,hydro_avg_02,hydro_avg_03,hydro_avg_14,hydro_avg_15,caudal_avg,lc_avg_05,lc_avg_07,lc_avg_12,slope_avg,soil_max_01,soil_max_04,soil_max_05,soil_min_02"
Curimata mivartii,256,3,"hydro_avg_02,hydro_avg_03,hydro_avg_06,hydro_avg_13,caudal_avg,lc_avg_04,lc_avg_06,lc_avg_07,lc_avg_12,soil_min_03,soil_min_06,soil_min_07,soil_min_09"
Curimata ocellata,77,3,"hydro_avg_02,hydro_avg_04,hydro_avg_10,hydro_avg_14,hydro_avg_15,caudal_avg,lc_avg_04,lc_avg_05,lc_avg_06,lc_avg_07,lc_avg_12,slope_avg,soil_max_05,soil_max_08,soil_min_03,soil_min_06,soil_min_07"
Curimata roseni,88,3,"hydro_avg_01,hydro_avg_02,hydro_avg_03,hydro_avg_04,hydro_avg_14,hydro_avg_15,caudal_avg,lc_avg_06,lc_avg_07,lc_avg_12,soil_min_01,soil_min_02,soil_min_04,soil_min_05,soil_min_06,soil_min_08"
Curimata vittata,193,3,"hydro_avg_01,hydro_avg_02,hydro_avg_03,hydro_avg_04,hydro_avg_14,hydro_avg_15,caudal_avg,lc_avg_05,lc_avg_06,lc_avg_07,lc_avg_12,slope_avg,soil_min_01,soil_min_02,soil_min_04,soil_min_05,soil_min_06,soil_min_08,soil_min_09"
Curimatella alburnus,177,3,"hydro_avg_01,hydro_avg_02,hydro_avg_04,hydro_avg_14,hydro_avg_15,caudal_avg,lc_avg_04,lc_avg_06,lc_avg_07,lc_avg_12,slope_avg,soil_max_05,soil_max_07,soil_max_08,soil_min_01,soil_min_02,soil_min_04,soil_min_06"
Curimatella dorsalis,374,3,"hydro_avg_02,hydro_avg_04,hydro_avg_10,hydro_avg_13,hydro_avg_15,caudal_avg,lc_avg_04,lc_avg_05,lc_avg_06,lc_avg_07,slope_avg,soil_max_05,soil_max_07,soil_min_01,soil_min_02,soil_min_04,soil_min_06,soil_min_08,soil_min_09 "
Curimatella immaculata,426,3,"hydro_avg_01,hydro_avg_02,hydro_avg_04,hydro_avg_14,hydro_avg_15,caudal_avg,lc_avg_04,lc_avg_05,lc_avg_06,lc_avg_07,lc_avg_12,slope_avg,soil_max_01,soil_max_05,soil_min_04,soil_min_06,soil_min_07,soil_min_08,soil_min_09"
Curimatella lepidura,42,3,"hydro_avg_02,hydro_avg_03,hydro_avg_04,hydro_avg_10,hydro_avg_13,hydro_avg_15,caudal_avg,lc_avg_02,lc_avg_03,lc_avg_04,lc_avg_05,lc_avg_06,lc_avg_12,slope_avg,soil_max_01,soil_max_02,soil_min_05"
Curimatella meyeri,167,3,"hydro_avg_02,hydro_avg_04,hydro_avg_10,hydro_avg_14,hydro_avg_15,caudal_avg,lc_avg_04,lc_avg_05,lc_avg_06,lc_avg_07,lc_avg_12,slope_avg,soil_max_05,soil_max_07,soil_max_08,soil_min_01,soil_min_02,soil_min_04,soil_min_06"
Curimatopsis cryptica,177,3,"hydro_avg_01,hydro_avg_02,hydro_avg_03,hydro_avg_04,hydro_avg_13,hydro_avg_14,hydro_avg_15,caudal_avg,lc_avg_04,lc_avg_05,lc_avg_07,lc_avg_12,slope_avg,soil_max_01,soil_min_04,soil_min_05,soil_min_06,soil_min_07,soil_min_08,soil_min_09"
Curimatopsis evelynae,211,3,"hydro_avg_02,hydro_avg_11,hydro_avg_14,hydro_avg_15,caudal_avg,lc_avg_04,lc_avg_05,lc_avg_06,lc_avg_07,slope_avg,soil_max_04,soil_max_05,soil_min_01,soil_min_02,soil_min_06,soil_min_08,soil_min_09"
Curimatopsis macrolepis,357,3,"hydro_avg_01,hydro_avg_02,hydro_avg_03,hydro_avg_04,hydro_avg_14,hydro_avg_15,caudal_avg,lc_avg_04,lc_avg_06,lc_avg_07,lc_avg_12,slope_avg,soil_max_05,soil_max_07,soil_min_01,soil_min_02,soil_min_04,soil_min_06,soil_min_08"
Curimatopsis microlepis,57,3,"hydro_avg_01,hydro_avg_02,hydro_avg_03,hydro_avg_14,hydro_avg_15,caudal_avg,lc_avg_04,lc_avg_05,lc_avg_06,lc_avg_07,lc_avg_12,soil_max_05,soil_max_08,soil_min_02,soil_min_04,soil_min_06"
Curimatopsis myersi,69,4,"hydro_avg_04,hydro_avg_07,hydro_avg_10,hydro_avg_13,caudal_avg,lc_avg_03,lc_avg_04,lc_avg_05,lc_avg_06,lc_avg_07,slope_avg,soil_max_02,soil_max_04,soil_min_01,soil_min_05,soil_min_06,soil_min_08,soil_min_09"
Cyphocharax abramoides,70,3,"hydro_avg_01,hydro_avg_02,hydro_avg_03,hydro_avg_04,hydro_avg_14,hydro_avg_15,caudal_avg,lc_avg_04,lc_avg_06,lc_avg_07,lc_avg_12,soil_min_01,soil_min_04,soil_min_05,soil_min_06,soil_min_08"
Cyphocharax aninha,27,4,"hydro_avg_01,hydro_avg_02,hydro_avg_04,hydro_avg_15,hydro_avg_17,lc_avg_07,slope_avg,soil_max_03,soil_max_10,soil_min_01,soil_min_02,soil_min_05,soil_min_08"
Cyphocharax aspilos,48,5,"hydro_avg_01,hydro_avg_04,hydro_avg_07,hydro_avg_13,hydro_avg_15,caudal_avg,lc_avg_04,lc_avg_05,lc_avg_06,lc_avg_07,soil_max_07,soil_max_08,soil_max_10,soil_min_02"
Cyphocharax biocellatus,35,4,"hydro_avg_03,hydro_avg_07,hydro_avg_11,hydro_avg_14,lc_avg_07,slope_avg,soil_max_01,soil_max_07,soil_max_08,soil_min_02,soil_min_03,soil_min_04"
Cyphocharax boiadeiro,21,4,"hydro_avg_02,hydro_avg_14,hydro_avg_15,lc_avg_07,slope_avg,soil_max_04,soil_max_06,soil_min_02,soil_min_07"
Cyphocharax corumbae,37,4,"hydro_avg_02,hydro_avg_03,hydro_avg_06,hydro_avg_13,hydro_avg_15,lc_avg_04,lc_avg_05,slope_avg,soil_max_04,soil_max_05,soil_min_02,soil_min_07"
Cyphocharax festivus,294,3,"hydro_avg_01,hydro_avg_02,hydro_avg_03,hydro_avg_04,hydro_avg_13,hydro_avg_14,hydro_avg_15,caudal_avg,lc_avg_05,lc_avg_06,lc_avg_07,lc_avg_12,slope_avg,soil_max_01,soil_max_05,soil_min_04,soil_min_06,soil_min_07,soil_min_08,soil_min_09  "
Cyphocharax gangamon,37,4,"hydro_avg_03,hydro_avg_04,hydro_avg_10,hydro_avg_14,caudal_avg,lc_avg_04,lc_avg_05,lc_avg_06,lc_avg_07,slope_avg,soil_max_06,soil_min_02,soil_min_07"
Cyphocharax gilbert,269,3,"hydro_avg_03,hydro_avg_10,hydro_avg_15,hydro_avg_17,caudal_avg,lc_avg_03,lc_avg_04,lc_avg_05,lc_avg_06,lc_avg_07,lc_avg_12,slope_avg,soil_max_01,soil_max_08,soil_min_03,soil_min_05,soil_min_06,soil_min_07,soil_min_09"
Cyphocharax gillii,241,4,"hydro_avg_02,hydro_avg_07,hydro_avg_10,hydro_avg_14,caudal_avg,lc_avg_02,lc_avg_03,lc_avg_04,lc_avg_05,lc_avg_06,slope_avg,soil_max_01,soil_max_05,soil_max_06,soil_max_08,soil_min_02,soil_min_04,soil_min_09"
Cyphocharax gouldingi,144,3,"hydro_avg_02,hydro_avg_03,hydro_avg_04,hydro_avg_10,hydro_avg_14,hydro_avg_15,caudal_avg,lc_avg_05,lc_avg_06,lc_avg_07,lc_avg_12,slope_avg,soil_min_01,soil_min_04,soil_min_05,soil_min_06,soil_min_07,soil_min_09"
Cyphocharax helleri,184,3,"hydro_avg_02,hydro_avg_03,hydro_avg_04,hydro_avg_11,hydro_avg_14,hydro_avg_15,caudal_avg,lc_avg_04,lc_avg_05,lc_avg_07,slope_avg,soil_max_01,soil_max_04,soil_min_05,soil_min_06,soil_min_07,soil_min_08,soil_min_09"
Cyphocharax laticlavius,31,5,"hydro_avg_07,hydro_avg_13,hydro_avg_15,caudal_avg,lc_avg_05,lc_avg_06,soil_min_01"
Cyphocharax leucostictus,148,3,"hydro_avg_01,hydro_avg_02,hydro_avg_03,hydro_avg_04,hydro_avg_14,hydro_avg_15,caudal_avg,lc_avg_05,lc_avg_06,lc_avg_07,lc_avg_12,slope_avg,soil_min_01,soil_min_04,soil_min_05,soil_min_06,soil_min_07,soil_min_08"
Cyphocharax magdalenae,619,3,"hydro_avg_04,hydro_avg_06,hydro_avg_07,hydro_avg_13,hydro_avg_15,caudal_avg,lc_avg_04,lc_avg_05,lc_avg_06,lc_avg_07,lc_avg_12,slope_avg,soil_max_05,soil_max_07,soil_max_08,soil_min_01,soil_min_04,soil_min_06,soil_min_09"
Cyphocharax meniscaprorus,47,3,"hydro_avg_01,hydro_avg_02,hydro_avg_03,hydro_avg_13,caudal_avg,lc_avg_04,lc_avg_05,lc_avg_12,slope_avg,soil_max_05,soil_min_07,soil_min_08"
Cyphocharax mestomyllon,42,3,"hydro_avg_04,hydro_avg_10,hydro_avg_14,hydro_avg_15,caudal_avg,lc_avg_03,lc_avg_06,lc_avg_07,lc_avg_12,soil_max_06,soil_min_01,soil_min_03,soil_min_05,soil_min_07"
Cyphocharax microcephalus,104,3,"hydro_avg_01,hydro_avg_02,hydro_avg_03,hydro_avg_14,hydro_avg_15,caudal_avg,lc_avg_05,lc_avg_07,slope_avg,soil_max_01,soil_max_08,soil_min_02,soil_min_05,soil_min_06,soil_min_07,soil_min_09"
Cyphocharax modestus,504,4,"hydro_avg_03,hydro_avg_07,hydro_avg_10,hydro_avg_15,hydro_avg_17,caudal_avg,lc_avg_02,lc_avg_03,lc_avg_04,lc_avg_05,lc_avg_06,slope_avg,soil_max_02,soil_max_04,soil_max_08,soil_min_01,soil_min_05,soil_min_06,soil_min_09"
Cyphocharax multilineatus,80,3,"hydro_avg_02,hydro_avg_04,hydro_avg_06,hydro_avg_14,hydro_avg_15,caudal_avg,lc_avg_03,lc_avg_06,lc_avg_07,lc_avg_12,slope_avg,soil_min_01,soil_min_02,soil_min_04,soil_min_05,soil_min_08,soil_min_09"
Cyphocharax naegelii,72,4,"hydro_avg_02,hydro_avg_03,hydro_avg_06,hydro_avg_15,hydro_avg_17,caudal_avg,lc_avg_02,lc_avg_03,lc_avg_04,lc_avg_05,lc_avg_06,lc_avg_12,slope_avg,soil_max_03,soil_max_04,soil_min_06,soil_min_08"
Cyphocharax nigripinnis,81,3,"hydro_avg_01,hydro_avg_02,hydro_avg_03,hydro_avg_04,hydro_avg_14,hydro_avg_15,caudal_avg,lc_avg_05,lc_avg_07,lc_avg_12,slope_avg,soil_min_01,soil_min_02,soil_min_04,soil_min_05,soil_min_06"
Cyphocharax notatus,134,3,"hydro_avg_04,hydro_avg_10,hydro_avg_13,hydro_avg_14,hydro_avg_15,caudal_avg,lc_avg_05,lc_avg_06,lc_avg_07,lc_avg_12,slope_avg,soil_max_07,soil_max_08,soil_min_02,soil_min_05,soil_min_06"
Cyphocharax oenas,95,3,"hydro_avg_02,hydro_avg_04,hydro_avg_11,hydro_avg_15,hydro_avg_16,caudal_avg,lc_avg_04,lc_avg_05,lc_avg_06,lc_avg_07,soil_max_05,soil_max_08,soil_min_06,soil_min_07,soil_min_09"
Cyphocharax pantostictos,42,4,"hydro_avg_02,hydro_avg_03,hydro_avg_04,hydro_avg_10,hydro_avg_15,hydro_avg_17,caudal_avg,lc_avg_07,lc_avg_12,slope_avg,soil_min_03,soil_min_04"
Cyphocharax pinnilepis,50,4,"hydro_avg_04,hydro_avg_10,hydro_avg_14,hydro_avg_15,caudal_avg,lc_avg_03,lc_avg_06,lc_avg_07,slope_avg,soil_max_05,soil_max_08,soil_min_02,soil_min_03,soil_min_07,soil_min_09"
Cyphocharax platanus,54,3,"hydro_avg_02,hydro_avg_04,hydro_avg_10,hydro_avg_15,hydro_avg_16,lc_avg_02,lc_avg_03,lc_avg_04,lc_avg_05,lc_avg_06,lc_avg_12,slope_avg,soil_max_01,soil_max_04,soil_min_06"
Cyphocharax plumbeus,216,3,"hydro_avg_02,hydro_avg_04,hydro_avg_10,hydro_avg_13,hydro_avg_15,caudal_avg,lc_avg_05,lc_avg_06,lc_avg_07,lc_avg_12,slope_avg,soil_max_06,soil_min_01,soil_min_02,soil_min_04,soil_min_05"
Cyphocharax punctatus,69,3,"hydro_avg_03,hydro_avg_04,hydro_avg_07,hydro_avg_14,caudal_avg,lc_avg_06,lc_avg_07,lc_avg_12,slope_avg,soil_max_01,soil_max_08,soil_min_02,soil_min_03,soil_min_04,soil_min_05,soil_min_06"
